Category,Year,Month,Month_Num,Date,Registrations
2-WHEELER,2021,APR,4,2021-04-01,959824
2-WHEELER,2021,AUG,8,2021-08-01,1104022
2-WHEELER,2021,DEC,12,2021-12-01,1303517
2-WHEELER,2021,FEB,2,2021-02-01,1242083
2-WHEELER,2021,JAN,1,2021-01-01,1363766
2-WHEELER,2021,JUL,7,2021-07-01,1291824
2-WHEELER,2021,JUN,6,2021-06-01,1076107
2-WHEELER,2021,MAR,3,2021-03-01,1353160
2-WHEELER,2021,MAY,5,2021-05-01,459214
2-WHEELER,2021,NOV,11,2021-11-01,1600653
2-WHEELER,2021,OCT,10,2021-10-01,1137798
2-WHEELER,2021,SEP,9,2021-09-01,1032856
2-WHEELER,2022,APR,4,2022-04-01,1331199
2-WHEELER,2022,AUG,8,2022-08-01,1181462
2-WHEELER,2022,DEC,12,2022-12-01,1137325
2-WHEELER,2022,FEB,2,2022-02-01,1108495
2-WHEELER,2022,JAN,1,2022-01-01,1154846
2-WHEELER,2022,JUL,7,2022-07-01,1137140
2-WHEELER,2022,JUN,6,2022-06-01,1229044
2-WHEELER,2022,MAR,3,2022-03-01,1289142
2-WHEELER,2022,MAY,5,2022-05-01,1368602
2-WHEELER,2022,NOV,11,2022-11-01,1856719
2-WHEELER,2022,OCT,10,2022-10-01,1725530
2-WHEELER,2022,SEP,9,2022-09-01,1079001
2-WHEELER,2023,APR,4,2023-04-01,1233788
2-WHEELER,2023,AUG,8,2023-08-01,1259224
2-WHEELER,2023,DEC,12,2023-12-01,1454346
2-WHEELER,2023,FEB,2,2023-02-01,1271098
2-WHEELER,2023,JAN,1,2023-01-01,1269039
2-WHEELER,2023,JUL,7,2023-07-01,1231973
2-WHEELER,2023,JUN,6,2023-06-01,1314671
2-WHEELER,2023,MAR,3,2023-03-01,1450929
2-WHEELER,2023,MAY,5,2023-05-01,1497832
2-WHEELER,2023,NOV,11,2023-11-01,2258989
2-WHEELER,2023,OCT,10,2023-10-01,1514667
2-WHEELER,2023,SEP,9,2023-09-01,1316317
2-WHEELER,2024,APR,4,2024-04-01,1650943
2-WHEELER,2024,AUG,8,2024-08-01,1345377
2-WHEELER,2024,DEC,12,2024-12-01,1203980
2-WHEELER,2024,FEB,2,2024-02-01,1447167
2-WHEELER,2024,JAN,1,2024-01-01,1465872
2-WHEELER,2024,JUL,7,2024-07-01,1451099
2-WHEELER,2024,JUN,6,2024-06-01,1381848
2-WHEELER,2024,MAR,3,2024-03-01,1538524
2-WHEELER,2024,MAY,5,2024-05-01,1540924
2-WHEELER,2024,NOV,11,2024-11-01,2628441
2-WHEELER,2024,OCT,10,2024-10-01,2076261
2-WHEELER,2024,SEP,9,2024-09-01,1209582
2-WHEELER,2025,APR,4,2025-04-01,1697116
2-WHEELER,2025,AUG,8,2025-08-01,803654
2-WHEELER,2025,FEB,2,2025-02-01,1362697
2-WHEELER,2025,JAN,1,2025-01-01,1535146
2-WHEELER,2025,JUL,7,2025-07-01,1360098
2-WHEELER,2025,JUN,6,2025-06-01,1453385
2-WHEELER,2025,MAR,3,2025-03-01,1522261
2-WHEELER,2025,MAY,5,2025-05-01,1661394
3-WHEELER,2021,APR,4,2021-04-01,24500
3-WHEELER,2021,AUG,8,2021-08-01,33985
3-WHEELER,2021,DEC,12,2021-12-01,48296
3-WHEELER,2021,FEB,2,2021-02-01,37573
3-WHEELER,2021,JAN,1,2021-01-01,35816
3-WHEELER,2021,JUL,7,2021-07-01,32133
3-WHEELER,2021,JUN,6,2021-06-01,16743
3-WHEELER,2021,MAR,3,2021-03-01,43053
3-WHEELER,2021,MAY,5,2021-05-01,5883
3-WHEELER,2021,NOV,11,2021-11-01,44760
3-WHEELER,2021,OCT,10,2021-10-01,44407
3-WHEELER,2021,SEP,9,2021-09-01,40723
3-WHEELER,2022,APR,4,2022-04-01,45546
3-WHEELER,2022,AUG,8,2022-08-01,60619
3-WHEELER,2022,DEC,12,2022-12-01,69576
3-WHEELER,2022,FEB,2,2022-02-01,42107
3-WHEELER,2022,JAN,1,2022-01-01,43649
3-WHEELER,2022,JUL,7,2022-07-01,54191
3-WHEELER,2022,JUN,6,2022-06-01,49539
3-WHEELER,2022,MAR,3,2022-03-01,51802
3-WHEELER,2022,MAY,5,2022-05-01,44688
3-WHEELER,2022,NOV,11,2022-11-01,80971
3-WHEELER,2022,OCT,10,2022-10-01,72307
3-WHEELER,2022,SEP,9,2022-09-01,68996
3-WHEELER,2023,APR,4,2023-04-01,75768
3-WHEELER,2023,AUG,8,2023-08-01,106140
3-WHEELER,2023,DEC,12,2023-12-01,99776
3-WHEELER,2023,FEB,2,2023-02-01,78490
3-WHEELER,2023,JAN,1,2023-01-01,72146
3-WHEELER,2023,JUL,7,2023-07-01,100070
3-WHEELER,2023,JUN,6,2023-06-01,91565
3-WHEELER,2023,MAR,3,2023-03-01,94657
3-WHEELER,2023,MAY,5,2023-05-01,84390
3-WHEELER,2023,NOV,11,2023-11-01,104575
3-WHEELER,2023,OCT,10,2023-10-01,113731
3-WHEELER,2023,SEP,9,2023-09-01,108606
3-WHEELER,2024,APR,4,2024-04-01,80129
3-WHEELER,2024,AUG,8,2024-08-01,105494
3-WHEELER,2024,DEC,12,2024-12-01,93889
3-WHEELER,2024,FEB,2,2024-02-01,96018
3-WHEELER,2024,JAN,1,2024-01-01,100160
3-WHEELER,2024,JUL,7,2024-07-01,110509
3-WHEELER,2024,JUN,6,2024-06-01,94327
3-WHEELER,2024,MAR,3,2024-03-01,105351
3-WHEELER,2024,MAY,5,2024-05-01,98273
3-WHEELER,2024,NOV,11,2024-11-01,108328
3-WHEELER,2024,OCT,10,2024-10-01,122852
3-WHEELER,2024,SEP,9,2024-09-01,106533
3-WHEELER,2025,APR,4,2025-04-01,99774
3-WHEELER,2025,AUG,8,2025-08-01,56366
3-WHEELER,2025,FEB,2,2025-02-01,94192
3-WHEELER,2025,JAN,1,2025-01-01,107026
3-WHEELER,2025,JUL,7,2025-07-01,111421
3-WHEELER,2025,JUN,6,2025-06-01,100635
3-WHEELER,2025,MAR,3,2025-03-01,99381
3-WHEELER,2025,MAY,5,2025-05-01,104463
4-WHEELER,2021,APR,4,2021-04-01,328920
4-WHEELER,2021,AUG,8,2021-08-01,425385
4-WHEELER,2021,DEC,12,2021-12-01,412448
4-WHEELER,2021,FEB,2,2021-02-01,425323
4-WHEELER,2021,JAN,1,2021-01-01,465018
4-WHEELER,2021,JUL,7,2021-07-01,448808
4-WHEELER,2021,JUN,6,2021-06-01,313443
4-WHEELER,2021,MAR,3,2021-03-01,479873
4-WHEELER,2021,MAY,5,2021-05-01,133065
4-WHEELER,2021,NOV,11,2021-11-01,387740
4-WHEELER,2021,OCT,10,2021-10-01,369862
4-WHEELER,2021,SEP,9,2021-09-01,388661
4-WHEELER,2022,APR,4,2022-04-01,430247
4-WHEELER,2022,AUG,8,2022-08-01,438711
4-WHEELER,2022,DEC,12,2022-12-01,444935
4-WHEELER,2022,FEB,2,2022-02-01,396317
4-WHEELER,2022,JAN,1,2022-01-01,427637
4-WHEELER,2022,JUL,7,2022-07-01,425641
4-WHEELER,2022,JUN,6,2022-06-01,431657
4-WHEELER,2022,MAR,3,2022-03-01,463345
4-WHEELER,2022,MAY,5,2022-05-01,428816
4-WHEELER,2022,NOV,11,2022-11-01,480517
4-WHEELER,2022,OCT,10,2022-10-01,504571
4-WHEELER,2022,SEP,9,2022-09-01,423350
4-WHEELER,2023,APR,4,2023-04-01,437833
4-WHEELER,2023,AUG,8,2023-08-01,479790
4-WHEELER,2023,DEC,12,2023-12-01,460490
4-WHEELER,2023,FEB,2,2023-02-01,452560
4-WHEELER,2023,JAN,1,2023-01-01,515575
4-WHEELER,2023,JUL,7,2023-07-01,460937
4-WHEELER,2023,JUN,6,2023-06-01,482424
4-WHEELER,2023,MAR,3,2023-03-01,524253
4-WHEELER,2023,MAY,5,2023-05-01,460709
4-WHEELER,2023,NOV,11,2023-11-01,528140
4-WHEELER,2023,OCT,10,2023-10-01,522799
4-WHEELER,2023,SEP,9,2023-09-01,480260
4-WHEELER,2024,APR,4,2024-04-01,497382
4-WHEELER,2024,AUG,8,2024-08-01,463794
4-WHEELER,2024,DEC,12,2024-12-01,477803
4-WHEELER,2024,FEB,2,2024-02-01,510710
4-WHEELER,2024,JAN,1,2024-01-01,590397
4-WHEELER,2024,JUL,7,2024-07-01,495478
4-WHEELER,2024,JUN,6,2024-06-01,439617
4-WHEELER,2024,MAR,3,2024-03-01,504653
4-WHEELER,2024,MAY,5,2024-05-01,470726
4-WHEELER,2024,NOV,11,2024-11-01,501045
4-WHEELER,2024,OCT,10,2024-10-01,670922
4-WHEELER,2024,SEP,9,2024-09-01,424964
4-WHEELER,2025,APR,4,2025-04-01,520189
4-WHEELER,2025,AUG,8,2025-08-01,275156
4-WHEELER,2025,FEB,2,2025-02-01,466158
4-WHEELER,2025,JAN,1,2025-01-01,679403
4-WHEELER,2025,JUL,7,2025-07-01,505695
4-WHEELER,2025,JUN,6,2025-06-01,469468
4-WHEELER,2025,MAR,3,2025-03-01,533497
4-WHEELER,2025,MAY,5,2025-05-01,469462
